========================================================================
  DpadButton.stl  -  ALL VERTICES & TRIANGLES
========================================================================
  STL header      : STLB ATF 13.20.0.188 COLOR=   ÿ
  Total triangles : 8,296
  Unique vertices : 4,150
  Bbox X          : -36.5500  to  -18.5500  (span 18.0000)
  Bbox Y          : -5.8592  to  -0.2000  (span 5.6592)
  Bbox Z          : 37.0000  to  55.0000  (span 18.0000)
========================================================================

========================================================================
  SECTION 1 - UNIQUE VERTICES  [ 4,150 total ]
========================================================================
  ID                    X              Y              Z
--------------------------------------------------------
  0            -19.460070      -5.857914      44.018578
  1            -19.624407      -5.859193      44.018600
  2            -19.554363      -5.854051      43.873150
  3            -19.623493      -5.846945      43.842659
  4            -19.500317      -5.822071      43.724205
  5            -19.620293      -5.804062      43.671612
  6            -19.459887      -5.764553      43.578659
  7            -19.614906      -5.731880      43.510780
  8            -19.434387      -5.683364      43.441231
  9            -19.607500      -5.632643      43.365162
  10           -19.424648      -5.581146      43.316395
  11           -19.598305      -5.509438      43.239296
  12           -19.430983      -5.461219      43.208206
  13           -19.587608      -5.366098      43.137093
  14           -19.453188      -5.327481      43.120178
  15           -19.575743      -5.207082      43.061729
  16           -19.490686      -5.183805      43.055008
  17           -19.541828      -5.036266      43.015312
  18           -19.374138      -4.970092      43.021523
  19           -19.549999      -4.862139      43.000000
  20           -19.376352      -4.862139      43.015194
  21           -19.563074      -5.037335      43.015553
  22           -19.212170      -4.900406      43.059570
  23           -19.207979      -4.862139      43.060307
  24           -19.049999      -4.862139      43.133976
  25           -18.907213      -4.862139      43.233955
  26           -19.003962      -4.994736      43.172802
  27           -19.155140      -5.065027      43.103939
  28           -19.319164      -5.128732      43.064243
  29           -18.870552      -4.920117      43.268570
  30           -18.783955      -4.862139      43.357212
  31           -18.830681      -5.073163      43.338146
  32           -18.722092      -4.986315      43.453056
  33           -18.806772      -5.217160      43.432926
  34           -18.699732      -5.120983      43.541695
  35           -18.799950      -5.346287      43.549416
  36           -18.693352      -5.241744      43.650635
  37           -18.810438      -5.456347      43.683830
  38           -18.703161      -5.344673      43.776340
  39           -18.837893      -5.543763      43.831799
  40           -18.728838      -5.426425      43.914722
  41           -18.758850      -5.473654      44.011410
  42           -18.669359      -5.335839      44.008839
  43           -18.646500      -5.290727      44.000420
  44           -18.603651      -5.185231      44.006027
  45           -18.623438      -5.217299      43.876129
  46           -18.573864      -5.078368      43.979946
  47           -18.566339      -4.999406      43.883514
  48           -18.563503      -5.025897      44.003056
  49           -18.549999      -4.862139      44.000000
  50           -18.571234      -4.906765      43.799942
  51           -18.565193      -4.862139      43.826351
  52           -18.610308      -4.862139      43.657978
  53           -18.620358      -5.016384      43.665375
  54           -18.640442      -4.895427      43.585758
  55           -18.683975      -4.862139      43.500000
  56           -18.881424      -5.605694      43.988514
  57           -18.869709      -5.594953      44.013672
  58           -18.998941      -5.696460      44.015564
  59           -19.015055      -5.702851      43.916115
  60           -19.143055      -5.775433      44.017040
  61           -19.166090      -5.772653      43.846447
  62           -19.226082      -5.808151      44.011776
  63           -19.387581      -5.847126      43.941509
  64           -19.298162      -5.829740      44.018051
  65           -19.329618      -5.812829      43.781776
  66           -19.286259      -5.751143      43.625683
  67           -19.258913      -5.664073      43.478302
  68           -19.248466      -5.554449      43.344421
  69           -19.255260      -5.425833      43.228394
  70           -19.279076      -5.282406      43.133987
  71           -19.121214      -5.708807      43.684887
  72           -18.970119      -5.638922      43.754345
  73           -18.941778      -5.548687      43.601604
