========================================================================
  ExtButtonArray.stl  -  ALL VERTICES & TRIANGLES
========================================================================
  Total triangles : 9,184
  Unique vertices : 4,590
  Bbox X          : -3.0000  to  11.0000
  Bbox Y          : -5.5000  to  -0.5000
  Bbox Z          : 29.3000  to  51.3000
========================================================================

========================================================================
  SECTION 1 - UNIQUE VERTICES  [ 4,590 total ]
========================================================================
  ID                    X              Y              Z
--------------------------------------------------------
  0              3.000000      -1.896472      31.613630
  1              5.000000      -1.896472      31.613630
  2              3.000000      -2.000000      31.600000
  3              5.000000      -2.000000      31.600000
  4              3.000000      -2.103528      31.613630
  5              5.000000      -2.103528      31.613630
  6              3.000000      -2.200000      31.653591
  7              5.000000      -2.200000      31.653591
  8              3.000000      -2.282843      31.717157
  9              5.000000      -2.282843      31.717157
  10             3.000000      -2.346410      31.800001
  11             5.000000      -2.346410      31.800001
  12             3.000000      -2.386370      31.896473
  13             5.000000      -2.386370      31.896473
  14             3.000000      -2.400000      32.000000
  15             5.000000      -2.400000      32.000000
  16             3.000000      -2.386370      32.103527
  17             5.000000      -2.386370      32.103527
  18             3.000000      -2.346410      32.200001
  19             5.000000      -2.346410      32.200001
  20             3.000000      -2.282843      32.282845
  21             5.000000      -2.282843      32.282845
  22             3.000000      -2.200000      32.346409
  23             5.000000      -2.200000      32.346409
  24             3.000000      -2.103528      32.386372
  25             5.000000      -2.103528      32.386372
  26             3.000000      -2.000000      32.400002
  27             5.000000      -2.000000      32.400002
  28             3.000000      -1.896472      32.386372
  29             5.000000      -1.896472      32.386372
  30             3.000000      -1.800000      32.346409
  31             5.000000      -1.800000      32.346409
  32             3.000000      -1.717157      32.282845
  33             5.000000      -1.717157      32.282845
  34             3.000000      -1.653590      32.200001
  35             5.000000      -1.653590      32.200001
  36             3.000000      -1.613630      32.103527
  37             5.000000      -1.613630      32.103527
  38             3.000000      -1.600000      32.000000
  39             5.000000      -1.600000      32.000000
  40             3.000000      -1.613630      31.896473
  41             5.000000      -1.613630      31.896473
  42             3.000000      -1.653590      31.800001
  43             5.000000      -1.653590      31.800001
  44             3.000000      -1.717157      31.717157
  45             5.000000      -1.717157      31.717157
  46             3.000000      -1.800000      31.653591
  47             5.000000      -1.800000      31.653591
  48             3.000000      -1.896472      39.613628
  49             5.000000      -1.896472      39.613628
  50             3.000000      -2.000000      39.600002
  51             5.000000      -2.000000      39.600002
  52             3.000000      -2.103528      39.613628
  53             5.000000      -2.103528      39.613628
  54             3.000000      -2.200000      39.653591
  55             5.000000      -2.200000      39.653591
  56             3.000000      -2.282843      39.717159
  57             5.000000      -2.282843      39.717159
  58             3.000000      -2.346410      39.799999
  59             5.000000      -2.346410      39.799999
  60             3.000000      -2.386370      39.896473
  61             5.000000      -2.386370      39.896473
  62             3.000000      -2.400000      40.000000
  63             5.000000      -2.400000      40.000000
  64             3.000000      -2.386370      40.103527
  65             5.000000      -2.386370      40.103527
  66             3.000000      -2.346410      40.200001
  67             5.000000      -2.346410      40.200001
  68             3.000000      -2.282843      40.282845
  69             5.000000      -2.282843      40.282845
  70             3.000000      -2.200000      40.346413
  71             5.000000      -2.200000      40.346413
  72             3.000000      -2.103528      40.386372
  73             5.000000      -2.103528      40.386372
  74             3.000000      -2.000000      40.400002
  75             5.000000      -2.000000      40.400002
  76             3.000000      -1.896472      40.386372
  77             5.000000      -1.896472      40.386372
  78             3.000000      -1.800000      40.346413
  79             5.000000      -1.800000      40.346413
  80             3.000000      -1.717157      40.282845
  81             5.000000      -1.717157      40.282845
  82             3.000000      -1.653590      40.200001
  83             5.000000      -1.653590      40.200001
  84             3.000000      -1.613630      40.103527
  85             5.000000      -1.613630      40.103527
  86             3.000000      -1.600000      40.000000
  87             5.000000      -1.600000      40.000000
  88             3.000000      -1.613630      39.896473
  89             5.000000      -1.613630      39.896473
  90             3.000000      -1.653590      39.799999
  91             5.000000      -1.653590      39.799999
  92             3.000000      -1.717157      39.717159
  93             5.000000      -1.717157      39.717159
  94             3.000000      -1.800000      39.653591
  95             5.000000      -1.800000      39.653591
  96             3.000000      -1.896472      47.613632
  97             5.000000      -1.896472      47.613632
  98             3.000000      -2.000000      47.600002
  99             5.000000      -2.000000      47.600002
  100            3.000000      -2.103528      47.613632
  101            5.000000      -2.103528      47.613632
  102            3.000000      -2.200000      47.653591
  103            5.000000      -2.200000      47.653591
  104            3.000000      -2.282843      47.717159
  105            5.000000      -2.282843      47.717159
  106            3.000000      -2.346410      47.799999
  107            5.000000      -2.346410      47.799999
  108            3.000000      -2.386370      47.896473
  109            5.000000      -2.386370      47.896473
  110            3.000000      -2.400000      48.000000
  111            5.000000      -2.400000      48.000000
  112            3.000000      -2.386370      48.103527
  113            5.000000      -2.386370      48.103527
  114            3.000000      -2.346410      48.200001
  115            5.000000      -2.346410      48.200001
  116            3.000000      -2.282843      48.282845
  117            5.000000      -2.282843      48.282845
  118            3.000000      -2.200000      48.346413
  119            5.000000      -2.200000      48.346413
  120            3.000000      -2.103528      48.386372
  121            5.000000      -2.103528      48.386372
  122            3.000000      -2.000000      48.400002
  123            5.000000      -2.000000      48.400002
  124            3.000000      -1.896472      48.386372
  125            5.000000      -1.896472      48.386372
  126            3.000000      -1.800000      48.346413
  127            5.000000      -1.800000      48.346413
  128            3.000000      -1.717157      48.282845
  129            5.000000      -1.717157      48.282845
  130            3.000000      -1.653590      48.200001
  131            5.000000      -1.653590      48.200001
  132            3.000000      -1.613630      48.103527
  133            5.000000      -1.613630      48.103527
  134            3.000000      -1.600000      48.000000
  135            5.000000      -1.600000      48.000000
  136            3.000000      -1.613630      47.896473
  137            5.000000      -1.613630      47.896473
  138            3.000000      -1.653590      47.799999
  139            5.000000      -1.653590      47.799999
  140            3.000000      -1.717157      47.717159
  141            5.000000      -1.717157      47.717159
  142            3.000000      -1.800000      47.653591
  143            5.000000      -1.800000      47.653591
  144            7.896472      -2.386370      37.299999
  145            7.896472      -2.386370      35.299999
  146            8.000000      -2.400000      37.299999
  147            8.000000      -2.400000      35.299999
  148            8.103528      -2.386370      37.299999
  149            8.103528      -2.386370      35.299999
  150            8.200000      -2.346410      37.299999
  151            8.200000      -2.346410      35.299999
  152            8.282843      -2.282843      37.299999
  153            8.282843      -2.282843      35.299999
  154            8.346411      -2.200000      37.299999
  155            8.346411      -2.200000      35.299999
  156            8.386371      -2.103528      37.299999
  157            8.386371      -2.103528      35.299999
  158            8.400001      -2.000000      37.299999
  159            8.400001      -2.000000      35.299999
  160            8.386371      -1.896472      37.299999
  161            8.386371      -1.896472      35.299999
  162            8.346411      -1.800000      37.299999
  163            8.346411      -1.800000      35.299999
  164            8.282843      -1.717157      37.299999
  165            8.282843      -1.717157      35.299999
  166            8.200000      -1.653590      37.299999
  167            8.200000      -1.653590      35.299999
  168            8.103528      -1.613630      37.299999
  169            8.103528      -1.613630      35.299999
  170            8.000000      -1.600000      37.299999
  171            8.000000      -1.600000      35.299999
  172            7.896472      -1.613630      37.299999
  173            7.896472      -1.613630      35.299999
  174            7.800000      -1.653590      37.299999
  175            7.800000      -1.653590      35.299999
  176            7.717157      -1.717157      37.299999
  177            7.717157      -1.717157      35.299999
  178            7.653590      -1.800000      37.299999
  179            7.653590      -1.800000      35.299999
  180            7.613630      -1.896472      37.299999
  181            7.613630      -1.896472      35.299999
  182            7.600000      -2.000000      37.299999
  183            7.600000      -2.000000      35.299999
  184            7.613630      -2.103528      37.299999
  185            7.613630      -2.103528      35.299999
  186            7.653590      -2.200000      37.299999
  187            7.653590      -2.200000      35.299999
  188            7.717157      -2.282843      37.299999
  189            7.717157      -2.282843      35.299999
  190            7.800000      -2.346410      37.299999
  191            7.800000      -2.346410      35.299999
  192            8.103528      -1.613630      45.299999
  193            8.103528      -1.613630      43.299999
  194            8.000000      -1.600000      45.299999
  195            8.000000      -1.600000      43.299999
  196            7.896472      -1.613630      45.299999
  197            7.896472      -1.613630      43.299999
  198            7.800000      -1.653590      45.299999
  199            7.800000      -1.653590      43.299999
  200            7.717157      -1.717157      45.299999
  201            7.717157      -1.717157      43.299999
  202            7.653590      -1.800000      45.299999
  203            7.653590      -1.800000      43.299999
  204            7.613630      -1.896472      45.299999
  205            7.613630      -1.896472      43.299999
  206            7.600000      -2.000000      45.299999
  207            7.600000      -2.000000      43.299999
  208            7.613630      -2.103528      45.299999
  209            7.613630      -2.103528      43.299999
  210            7.653590      -2.200000      45.299999
  211            7.653590      -2.200000      43.299999
  212            7.717157      -2.282843      45.299999
  213            7.717157      -2.282843      43.299999
  214            7.800000      -2.346410      45.299999
  215            7.800000      -2.346410      43.299999
  216            7.896472      -2.386370      45.299999
  217            7.896472      -2.386370      43.299999
  218            8.000000      -2.400000      45.299999
  219            8.000000      -2.400000      43.299999
  220            8.103528      -2.386370      45.299999
  221            8.103528      -2.386370      43.299999
  222            8.200000      -2.346410      45.299999
  223            8.200000      -2.346410      43.299999
  224            8.282843      -2.282843      45.299999
  225            8.282843      -2.282843      43.299999
  226            8.346411      -2.200000      45.299999
  227            8.346411      -2.200000      43.299999
  228            8.386371      -2.103528      45.299999
  229            8.386371      -2.103528      43.299999
  230            8.400001      -2.000000      45.299999
  231            8.400001      -2.000000      43.299999
  232            8.386371      -1.896472      45.299999
  233            8.386371      -1.896472      43.299999
  234            8.346411      -1.800000      45.299999
  235            8.346411      -1.800000      43.299999
  236            8.282843      -1.717157      45.299999
  237            8.282843      -1.717157      43.299999
  238            8.200000      -1.653590      45.299999
  239            8.200000      -1.653590      43.299999
  240            6.516754      -5.500000      48.523563
  241            6.378120      -5.482963      48.456459
  242            6.500000      -5.500000      48.299999
  243            6.371428      -5.482963      48.247776
  244            6.516754      -5.500000      48.076435
  245            6.391477      -5.482963      48.039948
  246            6.437937      -5.482963      47.836388
  247            6.272432      -5.433012      48.020699
  248            6.322331      -5.433012      47.802078
  249            6.170206      -5.353553      48.004173
  250            6.223058      -5.353553      47.772614
  251            6.091765      -5.250000      47.991493
  252            6.146883      -5.250000      47.750004
  253            6.042455      -5.129409      47.983521
  254            6.098997      -5.129409      47.735794
  255            6.065410      -5.000000      47.792690
  256            6.146166      -5.000000      47.549465
  257            6.411443      -5.482963      48.662579
  258            6.566641      -5.500000      48.742134
  259            6.470850      -5.482963      48.862740
  260            6.648547      -5.500000      48.950825
  261            6.555367      -5.482963      49.053665
  262            6.760642      -5.500000      49.144981
  263            6.663603      -5.482963      49.232212
  264            6.900422      -5.500000      49.320259
  265            6.793784      -5.482963      49.395454
  266            6.943770      -5.482963      49.540707
  267            6.865600      -5.433012      49.632530
  268            7.045314      -5.433012      49.766655
  269            6.988822      -5.353553      49.853439
  270            7.195773      -5.353553      49.969994
  271            7.161297      -5.250000      50.041584
  272            7.390892      -5.250000      50.134537
  273            7.375152      -5.129409      50.181942
  274            7.620940      -5.129409      50.246395
  275            7.430945      -5.000000      50.217335
  276            7.680800      -5.000000      50.274364
  277            7.872951      -5.129409      50.278889
  278            7.935897      -5.000000      50.298973
  279            8.127048      -5.129409      50.278889
  280            8.192046      -5.000000      50.290760
  281            8.379061      -5.129409      50.246395
  282            8.445042      -5.000000      50.249855
  283            8.624848      -5.129409      50.181942
  284            8.690730      -5.000000      50.176937
  285            8.860375      -5.129409      50.086586
  286            8.925076      -5.000000      50.073200
  287            9.081776      -5.129409      49.961899
  288            9.144234      -5.000000      49.940346
  289            9.285413      -5.129409      49.809917
  290            9.344602      -5.000000      49.780556
  291            9.467944      -5.129409      49.633148
  292            9.522892      -5.000000      49.596458
  293            9.626371      -5.129409      49.434486
  294            9.676176      -5.000000      49.391071
  295            9.758094      -5.129409      49.217197
  296            9.801938      -5.000000      49.167767
  297            9.860948      -5.129409      48.984844
  298            9.898111      -5.000000      48.930218
  299            9.933246      -5.129409      48.741249
  300            9.963119      -5.000000      48.682316
  301            9.973800      -5.129409      48.490410
  302            9.995891      -5.000000      48.428139
  303            9.981944      -5.129409      48.236443
  304            9.995891      -5.000000      48.171860
  305            9.957545      -5.129409      47.983521
  306            9.963119      -5.000000      47.917683
  307            9.901003      -5.129409      47.735794
  308            9.898111      -5.000000      47.669785
  309            9.813247      -5.129409      47.497330
  310            9.801938      -5.000000      47.432232
  311            9.695717      -5.129409      47.272045
  312            9.676176      -5.000000      47.208931
  313            9.550343      -5.129409      47.063644
  314            9.522892      -5.000000      47.003544
  315            9.379513      -5.129409      46.875542
  316            9.344602      -5.000000      46.819443
  317            9.186031      -5.129409      46.710827
  318            9.144234      -5.000000      46.659657
  319            8.973075      -5.129409      46.572208
  320            8.925076      -5.000000      46.526802
  321            8.744141      -5.129409      46.461960
  322            8.690730      -5.000000      46.423061
  323            8.502988      -5.129409      46.381889
  324            8.445042      -5.000000      46.350143
  325            8.253575      -5.129409      46.333317
  326            8.192046      -5.000000      46.309242
  327            8.000000      -5.129409      46.317036
  328            7.935897      -5.000000      46.301029
  329            7.746424      -5.129409      46.333317
  330            7.680800      -5.000000      46.325638
  331            7.497012      -5.129409      46.381889
  332            7.430945      -5.000000      46.382664
  333            7.255859      -5.129409      46.461960
  334            7.190434      -5.000000      46.471176
  335            7.026925      -5.129409      46.572208
  336            6.963215      -5.000000      46.589714
  337            6.813969      -5.129409      46.710827
  338            6.753020      -5.000000      46.736336
  339            6.620487      -5.129409      46.875542
  340            6.563301      -5.000000      46.908634
  341            6.449657      -5.129409      47.063644
  342            6.397173      -5.000000      47.103779
  343            6.304284      -5.129409      47.272045
  344            6.257362      -5.000000      47.318565
  345            6.186754      -5.129409      47.497330
  346            7.064765      -5.500000      49.472748
  347            7.111100      -5.482963      49.665588
  348            7.240704      -5.433012      49.876694
  349            7.415930      -5.353553      50.059124
  350            7.630488      -5.250000      50.197365
  351            7.250000      -5.500000      49.599037
  352            7.293025      -5.482963      49.768047
  353            7.448561      -5.433012      49.960846
