========================================================================
  Front.stl  -  ALL VERTICES & TRIANGLES
========================================================================
  STL header      : STLB ATF 13.20.0.188 COLOR=   ÿ
  Total triangles : 14,424
  Unique vertices : 7,110
  Bbox X          : -47.5500  to  47.5500  (span 95.1000)
  Bbox Y          : -5.5000  to  -0.0000  (span 5.5000)
  Bbox Z          : 0.0000  to  140.0000  (span 140.0000)
========================================================================

========================================================================
  SECTION 1 - UNIQUE VERTICES  [ 7,110 total ]
========================================================================
  ID                    X              Y              Z
--------------------------------------------------------
  0             45.049999      -3.300000     124.246666
  1             45.049999      -2.700000     122.750000
  2             45.049999      -3.300000     118.753334
  3             45.049999      -2.700000     120.249977
  4             45.049999      -2.642173     119.772545
  5             45.049999      -2.642177     123.227440
  6             45.049999      -2.834613     124.857948
  7             45.049999      -2.472053     123.677269
  8             45.049999      -2.199465     124.073479
  9             45.049999      -2.229232     125.330978
  10            45.049999      -1.840174     124.393166
  11            45.049999      -1.523558     125.634743
  12            45.049999      -1.414956     124.617844
  13            45.049999      -0.948398     124.734512
  14            45.049999      -0.763874     125.749321
  15            45.049999      -0.467476     124.736435
  16            45.049999      -0.000000     125.667191
  17            45.049999      -0.000000     124.623497
  18            45.049999      -2.834613     118.142059
  19            45.049999      -2.472046     119.322716
  20            45.049999      -2.199456     118.926506
  21            45.049999      -2.229232     117.669022
  22            45.049999      -1.840166     118.606827
  23            45.049999      -1.523559     117.365257
  24            45.049999      -1.414949     118.382156
  25            45.049999      -0.948393     118.265488
  26            45.049999      -0.763874     117.250679
  27            45.049999      -0.467474     118.263565
  28            45.049999       0.000000     117.332809
  29            45.049999       0.000000     118.376503
  30            46.049999      -3.300000     124.246666
  31            46.049999      -2.834613     124.857948
  32            46.049999      -2.229232     125.330978
  33            46.049999      -1.523558     125.634743
  34            46.049999      -0.763874     125.749321
  35            46.049999      -0.000000     125.667191
  36            46.049999      -3.300000     118.753334
  37            46.049999      -2.834613     118.142059
  38            46.049999      -2.229232     117.669022
  39            46.049999      -1.523559     117.365257
  40            46.049999      -0.763874     117.250679
  41            46.049999       0.000000     117.332809
  42            46.049999       0.000000     135.000000
  43            46.049999      -3.300000     135.000000
  44            46.049999      -3.300000      70.569283
  45            46.049999      -2.400000      91.800003
  46            46.049999      -2.400000     105.800003
  47            46.049999      -0.000000     105.800003
  48            46.049999       0.000000      91.800003
  49            46.049999       0.000000       5.000000
  50            46.049999      -4.000000       5.000000
  51            46.049999      -4.000000      70.569283
  52            47.549999       0.000000     118.376503
  53            47.549999      -0.467474     118.263565
  54            47.549999      -0.000000     105.800003
  55            47.549999      -0.948393     118.265488
  56            47.549999      -1.414949     118.382156
  57            47.549999      -2.400000     105.800003
  58            47.549999      -1.840166     118.606827
  59            47.549999      -2.199456     118.926506
  60            47.549999      -2.472046     119.322716
  61            47.549999      -2.642173     119.772545
  62            47.549999      -2.700000     120.249977
  63            47.549999      -2.700000     122.750000
  64            47.549999      -4.000000     135.000000
  65            47.549999      -2.400000      91.800003
  66            47.549999      -2.642177     123.227440
  67            47.549999      -2.472053     123.677269
  68            47.549999      -2.199465     124.073479
  69            47.549999      -1.840174     124.393166
  70            47.549999       0.000000     135.000000
  71            47.549999      -1.414956     124.617844
  72            47.549999      -0.948398     124.734512
  73            47.549999      -0.467476     124.736435
  74            47.549999       0.000000     124.623497
  75            47.549999      -4.000000       5.000000
  76            47.549999       0.000000       5.000000
  77            47.549999       0.000000      91.800003
  78           -45.049999      -3.300000      96.353340
  79           -46.049999      -3.300000      96.353340
  80           -45.049999      -2.834613      95.742058
  81           -46.049999      -2.834613      95.742058
  82           -45.049999      -2.229232      95.269020
  83           -46.049999      -2.229232      95.269020
  84           -45.049999      -1.523559      94.965256
  85           -46.049999      -1.523559      94.965256
  86           -45.049999      -0.763874      94.850677
  87           -46.049999      -0.763874      94.850677
  88           -45.049999      -0.000000      94.932808
  89           -46.049999       0.000000      94.932808
  90           -46.049999      -3.300000     101.846664
  91           -45.049999      -3.300000     101.846664
  92           -46.049999      -2.834613     102.457947
  93           -45.049999      -2.834613     102.457947
  94           -46.049999      -2.229232     102.930977
  95           -45.049999      -2.229232     102.930977
  96           -46.049999      -1.523559     103.234741
  97           -45.049999      -1.523559     103.234741
  98           -46.049999      -0.763874     103.349319
  99           -45.049999      -0.763874     103.349319
  100          -46.049999       0.000000     103.267189
  101          -45.049999       0.000000     103.267189
  102          -45.049999      -2.700000      97.849998
  103          -45.049999      -2.700000     100.349998
  104          -45.049999      -2.642178     100.827438
  105          -45.049999      -2.642178      97.372566
  106          -45.049999      -2.472054      96.922729
  107          -45.049999      -2.199466      96.526520
  108          -45.049999      -1.840175      96.206833
  109          -45.049999      -1.414957      95.982155
  110          -45.049999      -0.948398      95.865486
  111          -45.049999      -0.467477      95.863564
  112          -45.049999       0.000000      95.976501
  113          -45.049999      -2.472054     101.277267
  114          -45.049999      -2.199466     101.673477
  115          -45.049999      -1.840175     101.993164
  116          -45.049999      -1.414957     102.217842
  117          -45.049999      -0.948398     102.334511
  118          -45.049999      -0.467477     102.336441
  119          -45.049999      -0.000000     102.223503
  120           41.049999      -3.300000      76.889999
  121           39.040001      -3.300000      76.690002
  122           39.040001      -3.300000     132.449997
  123           42.132530      -3.300000      76.264999
  124           41.933884      -3.300000      76.523880
  125           41.674999      -3.300000      76.722534
  126           45.296593      -3.300000      69.961937
  127           41.373524      -3.300000      74.432594
  128           41.674999      -3.300000      74.557465
  129           41.933884      -3.300000      74.756119
  130           44.440296      -3.300000      69.511093
  131           43.513187      -3.300000      69.233650
  132           42.549999      -3.300000      69.139999
  133           34.508167      -3.300000      69.139999
  134           34.151730      -3.300000      69.890511
  135           40.726475      -3.300000      74.432594
  136           41.049999      -3.300000      74.389999
  137           40.424999      -3.300000      74.557465
  138           33.620354      -3.300000      70.529221
  139           40.166115      -3.300000      74.756119
  140           32.947212      -3.300000      71.016251
  141           39.967468      -3.300000      75.014999
  142           39.842594      -3.300000      75.316475
  143           39.799999      -3.300000      75.639999
  144           39.842594      -3.300000      75.963524
  145           39.967468      -3.300000      76.264999
  146           40.166115      -3.300000      76.523880
  147           40.424999      -3.300000      76.722534
  148           40.726475      -3.300000      76.847404
  149           32.174343      -3.300000      71.321190
  150           31.350000      -3.300000      71.425003
  151           30.525658      -3.300000      71.321190
  152           29.752789      -3.300000      71.016251
  153          -29.752789      -3.300000      71.016251
  154          -30.525658      -3.300000      71.321190
  155           29.079649      -3.300000      70.529221
  156          -29.079649      -3.300000      70.529221
  157           28.548269      -3.300000      69.890511
  158          -28.548269      -3.300000      69.890511
  159           28.191832      -3.300000      69.139999
  160          -28.191832      -3.300000      69.139999
  161          -45.000000      -3.300000      76.690002
  162          -31.350000      -3.300000      71.425003
  163          -32.174343      -3.300000      71.321190
  164          -32.947212      -3.300000      71.016251
  165          -33.620354      -3.300000      70.529221
  166          -42.549999      -3.300000      69.139999
  167          -34.151730      -3.300000      69.890511
  168          -34.508167      -3.300000      69.139999
  169          -43.513187      -3.300000      69.233650
  170          -44.440296      -3.300000      69.511093
  171          -45.296593      -3.300000      69.961937
  172          -46.049999      -3.300000      70.569283
  173          -45.049999      -3.300000     106.353340
  174          -45.000000      -3.300000     132.449997
  175          -45.049999      -3.300000     111.846664
  176          -46.049999      -3.300000     111.846664
  177          -46.049999      -3.300000     106.353340
  178          -46.049999      -3.300000     135.000000
  179          -45.736771      -3.300000     134.051254
  180          -45.406353      -3.300000     133.297989
  181          -44.901131      -3.300000     132.648865
  182          -44.830658      -3.300000     132.580444
  183          -45.962246      -3.300000     135.778824
  184          -45.804234      -3.300000     135.682343
  185          -45.872158      -3.300000     134.862595
  186          -45.537151      -3.300000     136.460327
  187          -45.703392      -3.300000     136.518600
  188          -45.286411      -3.300000     137.182220
  189          -45.087254      -3.300000     137.148941
  190          -44.732216      -3.300000     137.736404
  191          -44.482079      -3.300000     137.706039
  192          -44.068592      -3.300000     138.153397
  193          -43.758663      -3.300000     138.097534
  194          -43.328823      -3.300000     138.412247
  195          -42.961277      -3.300000     138.299469
  196          -42.549999      -3.300000     138.500000
  197          -42.138721      -3.300000     138.299469
  198          -41.341335      -3.300000     138.097534
  199           41.341335      -3.300000     138.097534
  200           40.617920      -3.300000     137.706039
  201           42.549999      -3.300000     138.500000
  202           42.138721      -3.300000     138.299469
  203           42.961277      -3.300000     138.299469
  204           43.328823      -3.300000     138.412247
  205           43.758663      -3.300000     138.097534
  206           44.068592      -3.300000     138.153397
  207           44.482079      -3.300000     137.706039
  208           44.732216      -3.300000     137.736404
  209           45.087254      -3.300000     137.148941
  210           45.286411      -3.300000     137.182220
  211           45.537151      -3.300000     136.460327
  212           45.703392      -3.300000     136.518600
  213           45.962246      -3.300000     135.778824
  214           45.804234      -3.300000     135.682343
  215           45.872158      -3.300000     134.862595
  216           45.736771      -3.300000     134.051254
  217           45.406353      -3.300000     133.297989
  218           44.901131      -3.300000     132.648865
  219           44.830658      -3.300000     132.580444
  220           44.758194      -3.300000     132.514145
  221           44.683804      -3.300000     132.449997
  222           40.416195      -3.300000     132.449997
  223           40.341805      -3.300000     132.514145
  224           40.269341      -3.300000     132.580444
  225           40.198872      -3.300000     132.648865
  226           39.693645      -3.300000     133.297989
  227           39.363228      -3.300000     134.051254
  228           39.227840      -3.300000     134.862595
  229          -39.227840      -3.300000     134.862595
  230          -39.295765      -3.300000     135.682343
  231           42.132530      -3.300000      75.014999
  232           42.257408      -3.300000      75.316475
  233           42.299999      -3.300000      75.639999
  234           42.257408      -3.300000      75.963524
  235           41.373524      -3.300000      76.847404
  236          -40.416195      -3.300000     132.449997
  237          -40.341805      -3.300000     132.514145
  238          -40.269341      -3.300000     132.580444
  239          -40.198872      -3.300000     132.648865
  240          -39.693645      -3.300000     133.297989
  241          -39.363228      -3.300000     134.051254
  242           39.295765      -3.300000     135.682343
  243          -39.562851      -3.300000     136.460327
  244           39.562851      -3.300000     136.460327
  245          -40.012745      -3.300000     137.148941
  246           40.012745      -3.300000     137.148941
  247          -40.617920      -3.300000     137.706039
  248          -44.758194      -3.300000     132.514145
  249          -44.683804      -3.300000     132.449997
  250          -46.049999       0.000000       5.000000
  251          -47.549999       0.000000       5.000000
  252          -47.549999       0.000000      95.976501
  253          -45.962246       0.000000       4.221177
  254          -47.169399       0.000000       3.086583
  255          -47.453926       0.000000       4.024549
  256          -46.707348       0.000000       2.222149
  257          -45.703392       0.000000       3.481407
  258          -46.085533       0.000000       1.464466
  259          -45.286411       0.000000       2.817786
  260          -45.327850       0.000000       0.842652
  261          -44.732216       0.000000       2.263590
  262          -44.463417       0.000000       0.380602
  263          -44.068592       0.000000       1.846609
  264          -43.525452       0.000000       0.096074
  265          -43.328823       0.000000       1.587752
  266          -42.549999       0.000000       0.000000
  267          -42.549999       0.000000       1.500000
  268           -4.720000       0.000000       1.500000
  269           -4.720000       0.000000       0.000000
  270          -46.049999      -2.834613     105.742058
  271          -46.049999      -2.229232     105.269020
  272          -46.049999      -1.523559     104.965256
  273          -46.049999      -0.763874     104.850677
  274          -46.049999       0.000000     104.932808
  275          -47.549999       0.000000     102.223503
  276          -47.549999       0.000000     105.976501
  277          -45.049999      -0.000000     105.976501
  278          -45.049999       0.000000     104.932808
  279          -47.549999      -0.467477      95.863564
  280          -47.549999      -0.948398      95.865486
  281          -47.549999      -1.414957      95.982155
  282          -47.549999      -1.840175      96.206833
  283          -47.549999      -2.199466      96.526520
  284          -47.549999      -2.472054      96.922729
  285          -47.549999      -2.642178      97.372566
  286          -47.549999      -2.700000      97.849998
  287          -47.549999      -0.467477     102.336441
  288          -47.549999      -0.948398     102.334511
  289          -47.549999      -1.414957     102.217842
  290          -47.549999      -1.840175     101.993164
  291          -47.549999      -2.199466     101.673477
  292          -47.549999      -2.472054     101.277267
