========================================================================
  Rear.stl  -  ALL VERTICES & TRIANGLES
========================================================================
  STL header      : STLB ATF 13.20.0.188 COLOR=è­#ÿ
  Total triangles : 4,424
  Unique vertices : 2,188
  Bbox X          : -47.5500  to  47.5500  (span 95.1000)
  Bbox Y          : 0.0000  to  12.3500  (span 12.3500)
  Bbox Z          : 0.0000  to  140.0000  (span 140.0000)
========================================================================

========================================================================
  SECTION 1 - UNIQUE VERTICES  [ 2,188 total ]
========================================================================
  ID                    X              Y              Z
--------------------------------------------------------
  0            -30.639185       3.217774     139.500122
  1            -36.587502       3.160660     139.560654
  2            -30.625000       3.100000     139.618027
  3            -36.587502       2.850000     139.799042
  4            -30.625000       2.801282     139.825974
  5            -36.587502       2.488229     139.948883
  6            -30.625000       2.461277     139.955841
  7            -30.625000       2.100000     140.000000
  8            -42.549999       2.100000     140.000000
  9            -42.549999       2.488229     139.948883
  10           -42.549999       2.850000     139.799042
  11           -42.549999       3.160660     139.560654
  12           -42.549999       3.399038     139.250000
  13           -36.587502       3.399038     139.250000
  14           -42.549999       3.548889     138.888229
  15           -36.587502       3.548889     138.888229
  16           -42.549999       3.600000     138.500000
  17           -30.955822       3.568575     138.796219
  18           -31.125000       3.600000     138.500000
  19           -30.677807       3.323622     139.367584
  20           -30.798214       3.478182     139.091614
  21           -45.962246       3.600000     135.778824
  22           -46.049999       3.600000     135.000000
  23           -46.363518       3.548889     135.758560
  24           -46.438229       3.548889     135.000000
  25           -46.799999       3.399038     135.000000
  26           -46.718338       3.399038     135.829132
  27           -47.110661       3.160660     135.000000
  28           -47.023029       3.160660     135.889740
  29           -47.349037       2.850000     135.000000
  30           -47.256824       2.850000     135.936249
  31           -47.498890       2.488229     135.000000
  32           -47.403797       2.488229     135.965485
  33           -47.549999       2.100000     135.000000
  34           -47.453926       2.100000     135.975449
  35           -47.122177       2.488229     136.893860
  36           -47.169399       2.100000     136.913422
  37           -46.664852       2.488229     137.749451
  38           -46.707348       2.100000     137.777847
  39           -46.049393       2.488229     138.499390
  40           -46.085533       2.100000     138.535538
  41           -45.299454       2.488229     139.114853
  42           -45.327850       2.100000     139.157349
  43           -44.443859       2.488229     139.572174
  44           -44.463417       2.100000     139.619400
  45           -43.515480       2.488229     139.853790
  46           -43.525452       2.100000     139.903931
  47           -43.486244       2.850000     139.706833
  48           -44.386513       2.850000     139.433731
  49           -45.216202       2.850000     138.990250
  50           -45.943432       2.850000     138.393433
  51           -46.540253       2.850000     137.666199
  52           -46.983734       2.850000     136.836517
  53           -43.439739       3.160660     139.473022
  54           -44.295288       3.160660     139.213501
  55           -45.083767       3.160660     138.792053
  56           -45.774876       3.160660     138.224869
  57           -46.342049       3.160660     137.533768
  58           -46.763500       3.160660     136.745285
  59           -43.379135       3.399038     139.168335
  60           -44.176403       3.399038     138.926483
  61           -44.911175       3.399038     138.533752
  62           -45.555202       3.399038     138.005203
  63           -46.083744       3.399038     137.361176
  64           -46.476486       3.399038     136.626404
  65           -43.308556       3.548889     138.813522
  66           -44.037960       3.548889     138.592255
  67           -44.710182       3.548889     138.232941
  68           -45.299393       3.548889     137.749390
  69           -45.782944       3.548889     137.160187
  70           -46.142254       3.548889     136.487961
  71           -43.328823       3.600000     138.412247
  72           -44.068592       3.600000     138.153397
  73           -44.732216       3.600000     137.736404
  74           -45.286411       3.600000     137.182220
  75           -45.703392       3.600000     136.518600
  76           -46.049999       3.600000      81.000000
  77           -46.438229       3.548889      81.000000
  78           -46.049999       3.600000      84.500000
  79           -46.438229       3.548889      88.714287
  80           -46.438229       3.548889      96.428574
  81           -46.799999       3.399038      96.428574
  82           -46.799999       3.399038     104.142860
  83           -47.110661       3.160660     104.142860
  84           -47.110661       3.160660     111.857140
  85           -47.349037       2.850000     111.857140
  86           -47.349037       2.850000     119.571426
  87           -47.498890       2.488229     119.571426
  88           -47.498890       2.488229     127.285713
  89           -46.799999       3.399038      88.714287
  90           -46.799999       3.399038      81.000000
  91           -47.110661       3.160660      88.714287
  92           -47.110661       3.160660      81.000000
  93           -47.349037       2.850000      88.714287
  94           -47.349037       2.850000      81.000000
  95           -47.498890       2.488229      88.714287
  96           -47.498890       2.488229      81.000000
  97           -47.549999       2.100000      81.000000
  98           -47.498890       2.488229     104.142860
  99           -47.498890       2.488229      96.428574
  100          -47.349037       2.850000     127.285713
  101          -47.110661       3.160660     127.285713
  102          -46.799999       3.399038     127.285713
  103          -46.438229       3.548889     127.285713
  104          -46.438229       3.548889     111.857140
  105          -46.438229       3.548889     119.571426
  106          -46.438229       3.548889     104.142860
  107          -46.799999       3.399038     111.857140
  108          -46.799999       3.399038     119.571426
  109          -47.110661       3.160660     119.571426
  110          -47.110661       3.160660      96.428574
  111          -47.349037       2.850000      96.428574
  112          -47.349037       2.850000     104.142860
  113          -47.498890       2.488229     111.857140
  114          -44.964813       3.600000     134.352951
  115          -45.049999       3.600000     135.000000
  116          -44.715065       3.600000     133.750000
  117          -44.317768       3.600000     133.232239
  118          -43.799999       3.600000     132.834930
  119          -43.197048       3.600000     132.585190
  120          -42.549999       3.600000     132.500000
  121          -37.549999       3.600000      86.000000
  122          -41.902954       3.600000     132.585190
  123          -41.299999       3.600000     132.834930
  124          -40.782234       3.600000     133.232239
  125          -40.384937       3.600000     133.750000
  126          -31.125000       3.600000      97.459641
  127          -40.135185       3.600000     134.352951
  128          -40.049999       3.600000     135.000000
  129          -40.135185       3.600000     135.647049
  130          -40.384937       3.600000     136.250000
  131          -40.782234       3.600000     136.767761
  132          -41.299999       3.600000     137.165070
  133          -41.902954       3.600000     137.414810
  134          -42.549999       3.600000     137.500000
  135          -43.197048       3.600000     137.414810
  136          -43.799999       3.600000     137.165070
  137          -44.317768       3.600000     136.767761
  138          -44.715065       3.600000     136.250000
  139          -44.964813       3.600000     135.647049
  140          -29.262808       3.600000      86.000000
  141          -37.549999       3.600000      84.500000
  142          -30.995590       3.582963     136.807480
  143          -30.995590       3.582963     133.996918
  144          -30.995590       3.582963     131.186356
  145          -30.875000       3.533013     131.186356
  146          -30.875000       3.533013     128.375793
  147          -30.771446       3.453553     128.375793
  148          -30.771446       3.453553     125.565239
  149          -30.691988       3.350000     125.565239
  150          -30.691988       3.350000     122.754677
  151          -30.642036       3.229409     122.754677
  152          -30.642036       3.229409     119.944115
  153          -30.625000       3.100000      97.500000
  154          -30.642036       3.229409     117.133560
  155          -30.642036       3.229409     114.322998
  156          -30.691988       3.350000     117.133560
  157          -30.691988       3.350000     114.322998
  158          -30.771446       3.453553     117.133560
  159          -30.771446       3.453553     114.322998
  160          -30.875000       3.533013     117.133560
  161          -30.875000       3.533013     114.322998
  162          -30.995590       3.582963     117.133560
  163          -30.995590       3.582963     114.322998
  164          -30.995590       3.582963     111.512436
  165          -30.995590       3.582963     108.701881
  166          -30.875000       3.533013     108.701881
  167          -30.875000       3.533013     105.891319
  168          -30.771446       3.453553     105.891319
  169          -30.771446       3.453553     103.080757
  170          -30.691988       3.350000     103.080757
  171          -30.691988       3.350000     100.270203
  172          -30.642036       3.229409     100.270203
  173          -30.642036       3.229409      97.498627
  174          -30.642036       3.229409     103.080757
  175          -30.642036       3.229409     105.891319
  176          -30.691988       3.350000     105.891319
  177          -30.691988       3.350000     108.701881
  178          -30.771446       3.453553     108.701881
  179          -30.771446       3.453553     111.512436
  180          -30.875000       3.533013     111.512436
  181          -30.875000       3.533013     136.807480
  182          -30.771446       3.453553     136.807480
  183          -30.691988       3.350000     136.807480
  184          -30.642036       3.229409     136.807480
  185          -30.642036       3.229409     133.996918
  186          -30.642036       3.229409     131.186356
  187          -30.642036       3.229409     128.375793
  188          -30.642036       3.229409     125.565239
  189          -30.691988       3.350000     128.375793
  190          -30.691988       3.350000      97.494591
  191          -30.771446       3.453553     100.270203
  192          -30.875000       3.533013     103.080757
  193          -30.995590       3.582963     105.891319
  194          -30.771446       3.453553      97.488182
  195          -30.875000       3.533013     100.270203
  196          -30.995590       3.582963     103.080757
  197          -30.875000       3.533013      97.479820
  198          -30.995590       3.582963     100.270203
  199          -30.995590       3.582963      97.470085
  200          -30.995590       3.582963     119.944115
  201          -30.875000       3.533013     119.944115
  202          -30.771446       3.453553     119.944115
  203          -30.691988       3.350000     119.944115
  204          -30.875000       3.533013     133.996918
  205          -30.771446       3.453553     133.996918
  206          -30.691988       3.350000     133.996918
  207          -30.995590       3.582963     128.375793
  208          -30.995590       3.582963     125.565239
  209          -30.995590       3.582963     122.754677
  210          -30.875000       3.533013     122.754677
  211          -30.875000       3.533013     125.565239
  212          -30.771446       3.453553     131.186356
  213          -30.771446       3.453553     122.754677
  214          -30.691988       3.350000     131.186356
  215          -30.691988       3.350000     111.512436
  216          -30.642036       3.229409     111.512436
  217          -30.642036       3.229409     108.701881
