========================================================================
  ShoulderButtonArray.stl  -  ALL VERTICES & TRIANGLES
========================================================================
  STL header      : STLB ATF 13.20.0.188 COLOR=   ÿ
  Total triangles : 2,104
  Unique vertices : 1,040
  Bbox X          : -47.5500  to  -29.2049  (span 18.3451)
  Bbox Y          : -9.6500  to  12.3500  (span 22.0000)
  Bbox Z          : 76.3000  to  88.0000  (span 11.7000)
========================================================================

========================================================================
  SECTION 1 - UNIQUE VERTICES  [ 1,040 total ]
========================================================================
  ID                    X              Y              Z
--------------------------------------------------------
  0            -40.186371       3.850000      82.446472
  1            -40.186371       2.183333      82.446472
  2            -40.200001       3.850000      82.550003
  3            -40.200001       2.183333      82.550003
  4            -40.186371       3.850000      82.653526
  5            -40.186371       2.183333      82.653526
  6            -40.146412       3.850000      82.750000
  7            -40.146412       2.183333      82.750000
  8            -40.082844       3.850000      82.832840
  9            -40.082844       2.183333      82.832840
  10           -40.000000       3.850000      82.896408
  11           -40.000000       2.183333      82.896408
  12           -39.903526       3.850000      82.936371
  13           -39.903526       2.183333      82.936371
  14           -39.799999       3.850000      82.949997
  15           -39.799999       2.183333      82.949997
  16           -39.696472       3.850000      82.936371
  17           -39.696472       2.183333      82.936371
  18           -39.599998       3.850000      82.896408
  19           -39.599998       2.183333      82.896408
  20           -39.517159       3.850000      82.832840
  21           -39.517159       2.183333      82.832840
  22           -39.453590       3.850000      82.750000
  23           -39.453590       2.183333      82.750000
  24           -39.413631       3.850000      82.653526
  25           -39.413631       2.183333      82.653526
  26           -39.400002       3.850000      82.550003
  27           -39.400002       2.183333      82.550003
  28           -39.413631       3.850000      82.446472
  29           -39.413631       2.183333      82.446472
  30           -39.453590       3.850000      82.349998
  31           -39.453590       2.183333      82.349998
  32           -39.517159       3.850000      82.267159
  33           -39.517159       2.183333      82.267159
  34           -39.599998       3.850000      82.203590
  35           -39.599998       2.183333      82.203590
  36           -39.696472       3.850000      82.163628
  37           -39.696472       2.183333      82.163628
  38           -39.799999       3.850000      82.150002
  39           -39.799999       2.183333      82.150002
  40           -39.903526       3.850000      82.163628
  41           -39.903526       2.183333      82.163628
  42           -40.000000       3.850000      82.203590
  43           -40.000000       2.183333      82.203590
  44           -40.082844       3.850000      82.267159
  45           -40.082844       2.183333      82.267159
  46           -40.146412       3.850000      82.349998
  47           -40.146412       2.183333      82.349998
  48           -40.186371      -1.150000      82.653526
  49           -40.186371       0.516667      82.653526
  50           -40.200001      -1.150000      82.550003
  51           -40.200001       0.516667      82.550003
  52           -40.186371      -1.150000      82.446472
  53           -40.186371       0.516667      82.446472
  54           -40.146412      -1.150000      82.349998
  55           -40.146412       0.516667      82.349998
  56           -40.082844      -1.150000      82.267159
  57           -40.082844       0.516667      82.267159
  58           -40.000000      -1.150000      82.203590
  59           -40.000000       0.516667      82.203590
  60           -39.903526      -1.150000      82.163628
  61           -39.903526       0.516667      82.163628
  62           -39.799999      -1.150000      82.150002
  63           -39.799999       0.516667      82.150002
  64           -39.696472      -1.150000      82.163628
  65           -39.696472       0.516667      82.163628
  66           -39.599998      -1.150000      82.203590
  67           -39.599998       0.516667      82.203590
  68           -39.517159      -1.150000      82.267159
  69           -39.517159       0.516667      82.267159
  70           -39.453590      -1.150000      82.349998
  71           -39.453590       0.516667      82.349998
  72           -39.413631      -1.150000      82.446472
  73           -39.413631       0.516667      82.446472
  74           -39.400002      -1.150000      82.550003
  75           -39.400002       0.516667      82.550003
  76           -39.413631      -1.150000      82.653526
  77           -39.413631       0.516667      82.653526
  78           -39.453590      -1.150000      82.750000
  79           -39.453590       0.516667      82.750000
  80           -39.517159      -1.150000      82.832840
  81           -39.517159       0.516667      82.832840
  82           -39.599998      -1.150000      82.896408
  83           -39.599998       0.516667      82.896408
  84           -39.696472      -1.150000      82.936371
  85           -39.696472       0.516667      82.936371
  86           -39.799999      -1.150000      82.949997
  87           -39.799999       0.516667      82.949997
  88           -39.903526      -1.150000      82.936371
  89           -39.903526       0.516667      82.936371
  90           -40.000000      -1.150000      82.896408
  91           -40.000000       0.516667      82.896408
  92           -40.082844      -1.150000      82.832840
  93           -40.082844       0.516667      82.832840
  94           -40.146412      -1.150000      82.750000
  95           -40.146412       0.516667      82.750000
  96           -44.186371       3.850000      82.446472
  97           -44.186371       2.183333      82.446472
  98           -44.200001       3.850000      82.550003
  99           -44.200001       2.183333      82.550003
  100          -44.186371       3.850000      82.653526
  101          -44.186371       2.183333      82.653526
  102          -44.146412       3.850000      82.750000
  103          -44.146412       2.183333      82.750000
  104          -44.082844       3.850000      82.832840
  105          -44.082844       2.183333      82.832840
  106          -44.000000       3.850000      82.896408
  107          -44.000000       2.183333      82.896408
  108          -43.903526       3.850000      82.936371
  109          -43.903526       2.183333      82.936371
  110          -43.799999       3.850000      82.949997
  111          -43.799999       2.183333      82.949997
  112          -43.696472       3.850000      82.936371
  113          -43.696472       2.183333      82.936371
  114          -43.599998       3.850000      82.896408
  115          -43.599998       2.183333      82.896408
  116          -43.517159       3.850000      82.832840
  117          -43.517159       2.183333      82.832840
  118          -43.453590       3.850000      82.750000
  119          -43.453590       2.183333      82.750000
  120          -43.413631       3.850000      82.653526
  121          -43.413631       2.183333      82.653526
  122          -43.400002       3.850000      82.550003
  123          -43.400002       2.183333      82.550003
  124          -43.413631       3.850000      82.446472
  125          -43.413631       2.183333      82.446472
  126          -43.453590       3.850000      82.349998
  127          -43.453590       2.183333      82.349998
  128          -43.517159       3.850000      82.267159
  129          -43.517159       2.183333      82.267159
  130          -43.599998       3.850000      82.203590
  131          -43.599998       2.183333      82.203590
  132          -43.696472       3.850000      82.163628
  133          -43.696472       2.183333      82.163628
  134          -43.799999       3.850000      82.150002
  135          -43.799999       2.183333      82.150002
  136          -43.903526       3.850000      82.163628
  137          -43.903526       2.183333      82.163628
  138          -44.000000       3.850000      82.203590
  139          -44.000000       2.183333      82.203590
  140          -44.082844       3.850000      82.267159
  141          -44.082844       2.183333      82.267159
  142          -44.146412       3.850000      82.349998
  143          -44.146412       2.183333      82.349998
  144          -44.186371      -1.150000      82.653526
  145          -44.186371       0.516667      82.653526
  146          -44.200001      -1.150000      82.550003
  147          -44.200001       0.516667      82.550003
  148          -44.186371      -1.150000      82.446472
  149          -44.186371       0.516667      82.446472
  150          -44.146412      -1.150000      82.349998
  151          -44.146412       0.516667      82.349998
  152          -44.082844      -1.150000      82.267159
  153          -44.082844       0.516667      82.267159
  154          -44.000000      -1.150000      82.203590
  155          -44.000000       0.516667      82.203590
  156          -43.903526      -1.150000      82.163628
  157          -43.903526       0.516667      82.163628
  158          -43.799999      -1.150000      82.150002
  159          -43.799999       0.516667      82.150002
  160          -43.696472      -1.150000      82.163628
  161          -43.696472       0.516667      82.163628
  162          -43.599998      -1.150000      82.203590
  163          -43.599998       0.516667      82.203590
  164          -43.517159      -1.150000      82.267159
  165          -43.517159       0.516667      82.267159
  166          -43.453590      -1.150000      82.349998
  167          -43.453590       0.516667      82.349998
  168          -43.413631      -1.150000      82.446472
  169          -43.413631       0.516667      82.446472
  170          -43.400002      -1.150000      82.550003
  171          -43.400002       0.516667      82.550003
  172          -43.413631      -1.150000      82.653526
  173          -43.413631       0.516667      82.653526
  174          -43.453590      -1.150000      82.750000
  175          -43.453590       0.516667      82.750000
  176          -43.517159      -1.150000      82.832840
  177          -43.517159       0.516667      82.832840
  178          -43.599998      -1.150000      82.896408
  179          -43.599998       0.516667      82.896408
  180          -43.696472      -1.150000      82.936371
  181          -43.696472       0.516667      82.936371
  182          -43.799999      -1.150000      82.949997
  183          -43.799999       0.516667      82.949997
  184          -43.903526      -1.150000      82.936371
  185          -43.903526       0.516667      82.936371
  186          -44.000000      -1.150000      82.896408
  187          -44.000000       0.516667      82.896408
  188          -44.082844      -1.150000      82.832840
  189          -44.082844       0.516667      82.832840
  190          -44.146412      -1.150000      82.750000
  191          -44.146412       0.516667      82.750000
  192          -38.799999      -4.700000      82.300011
  193          -38.799999      -4.700000      85.300003
  194          -42.799999      -4.700000      82.300011
  195          -42.799999      -4.700000      85.300003
  196          -38.799999      -2.150000      85.300003
  197          -42.799999      -2.150000      85.300003
  198          -38.799999      -2.150000      82.300011
  199          -42.799999      -2.150000      82.300011
  200          -42.799999      -2.350000      84.300003
  201          -42.799999      -3.700000      84.300003
  202          -42.799999      -3.700000      83.300003
  203          -42.799999      -2.350000      83.300003
  204          -37.799999      -4.700000      80.800003
  205          -37.799999      -3.700000      83.300003
  206          -37.799999      -4.700000      84.300003
  207          -37.799999      -3.700000      84.300003
  208          -37.799999      -1.150000      88.000000
  209          -37.799999      -2.350000      84.300003
  210          -37.799999      -1.150000      84.300003
  211          -37.799999      -5.900000      80.800003
  212          -37.799999      -7.900000      76.300003
  213          -37.799999      -1.150000      76.300003
  214          -37.799999      -2.350000      80.800003
  215          -37.799999      -1.150000      80.800003
  216          -37.799999      -7.900000      83.000000
  217          -37.799999      -5.900000      84.300003
  218          -37.799999      -8.650000      88.000000
  219          -37.799999      -2.350000      83.300003
  220          -37.799999      -9.650000      87.000000
  221          -37.799999      -8.845090      87.980782
  222          -37.799999      -9.032683      87.923882
  223          -37.799999      -9.205570      87.831467
  224          -37.799999      -9.357107      87.707108
  225          -37.799999      -9.481469      87.555573
  226          -37.799999      -9.573879      87.382683
  227          -37.799999      -9.630785      87.195091
  228          -37.799999      -9.650000      83.000000
  229          -38.799999      -2.150000      79.300003
  230          -41.549999      -2.150000      79.300003
  231          -43.200001      -2.150000      79.300003
  232          -43.427704      -2.150000      79.316284
  233          -43.650772      -2.150000      79.364815
  234          -43.864662      -2.150000      79.444588
  235          -44.065025      -2.150000      79.553993
  236          -44.247776      -2.150000      79.690804
  237          -44.409199      -2.150000      79.852226
  238          -44.546005      -2.150000      80.034973
  239          -44.655411      -2.150000      80.235336
  240          -44.735188      -2.150000      80.449226
  241          -44.783714      -2.150000      80.672295
  242          -44.799999      -2.150000      80.900002
  243          -44.799999      -2.150000      84.000000
  244          -46.549999      -2.150000      87.000000
  245          -38.799999      -2.150000      87.000000
  246          -46.549999      -2.150000      84.000000
  247          -43.200001      -2.150000      78.300003
  248          -41.549999      -2.150000      78.300003
  249          -30.019447      -2.350000      82.741234
  250          -30.019447      -1.150000      82.741234
  251          -30.000000      -2.350000      82.550003
  252          -30.000000      -1.150000      82.550003
  253          -30.019447      -2.350000      82.358765
  254          -30.019447      -1.150000      82.358765
  255          -30.076990      -2.350000      82.175362
  256          -30.076990      -1.150000      82.175362
  257          -30.170275      -2.350000      82.007294
  258          -30.170275      -1.150000      82.007294
  259          -30.295481      -2.350000      81.861450
  260          -30.295481      -1.150000      81.861450
  261          -30.447485      -2.350000      81.743790
  262          -30.447485      -1.150000      81.743790
  263          -30.620060      -2.350000      81.659134
  264          -30.620060      -1.150000      81.659134
  265          -30.806143      -2.350000      81.610954
  266          -30.806143      -1.150000      81.610954
  267          -30.998117      -2.350000      81.601219
  268          -30.998117      -1.150000      81.601219
  269          -31.188120      -2.350000      81.630325
  270          -31.188120      -1.150000      81.630325
  271          -31.368374      -2.350000      81.697083
