========================================================================
  SideButtonArray.stl  -  ALL VERTICES & TRIANGLES
========================================================================
  STL header      : STLB ATF 13.20.0.188 COLOR=   ÿ
  Total triangles : 6,012
  Unique vertices : 3,004
  Bbox X          : -49.3000  to  -43.6000  (span 5.7000)
  Bbox Y          : -2.8000  to  8.4000  (span 11.2000)
  Bbox Z          : 104.8553  to  136.3447  (span 31.4893)
========================================================================

========================================================================
  SECTION 1 - UNIQUE VERTICES  [ 3,004 total ]
========================================================================
  ID                    X              Y              Z
--------------------------------------------------------
  0            -44.526962      -0.307584     116.375763
  1            -44.450001      -0.300000     116.376785
  2            -44.450001      -0.300000     114.849998
  3            -44.373039      -0.307584     116.375763
  4            -44.346474      -0.313630     114.849998
  5            -44.296844      -0.330482     116.372841
  6            -44.250000      -0.353590     114.849998
  7            -44.226833      -0.368172     116.368416
  8            -44.167160      -0.417156     114.849998
  9            -44.167160      -0.417156     116.363365
  10           -44.118172      -0.476829     116.358322
  11           -44.103588      -0.500000     114.849998
  12           -44.080482      -0.546843     116.353912
  13           -44.063629      -0.596472     114.849998
  14           -44.057583      -0.623038     116.351013
  15           -44.049999      -0.700000     114.849998
  16           -44.049999      -0.700000     116.349998
  17           -44.057583      -0.776962     116.351013
  18           -44.063629      -0.803528     114.849998
  19           -44.080482      -0.853157     116.353912
  20           -44.103588      -0.900000     114.849998
  21           -44.118172      -0.923171     116.358322
  22           -44.167160      -0.982844     114.849998
  23           -44.167160      -0.982844     116.363365
  24           -44.226833      -1.031829     116.368416
  25           -44.250000      -1.046410     114.849998
  26           -44.296844      -1.069518     116.372841
  27           -44.346474      -1.086370     114.849998
  28           -44.373039      -1.092416     116.375763
  29           -44.450001      -1.100000     114.849998
  30           -44.450001      -1.100000     116.376785
  31           -44.526962      -1.092416     116.375763
  32           -44.553528      -1.086370     114.849998
  33           -44.603157      -1.069518     116.372841
  34           -44.650002      -1.046410     114.849998
  35           -44.673168      -1.031829     116.368416
  36           -44.732841      -0.982844     114.849998
  37           -44.732841      -0.982844     116.363365
  38           -44.781826      -0.923171     116.358322
  39           -44.796410      -0.900000     114.849998
  40           -44.819515      -0.853157     116.353912
  41           -44.836369      -0.803528     114.849998
  42           -44.842415      -0.776962     116.351013
  43           -44.849998      -0.700000     114.849998
  44           -44.849998      -0.700000     116.349998
  45           -44.842415      -0.623038     116.351013
  46           -44.836369      -0.596472     114.849998
  47           -44.819515      -0.546843     116.353912
  48           -44.796410      -0.500000     114.849998
  49           -44.781826      -0.476829     116.358322
  50           -44.732841      -0.417156     114.849998
  51           -44.732841      -0.417156     116.363365
  52           -44.673168      -0.368172     116.368416
  53           -44.650002      -0.353590     114.849998
  54           -44.603157      -0.330482     116.372841
  55           -44.553528      -0.313630     114.849998
  56           -44.373039      -0.307584     113.324234
  57           -44.450001      -0.300000     113.323212
  58           -44.526962      -0.307584     113.324234
  59           -44.603157      -0.330482     113.327156
  60           -44.673168      -0.368172     113.331589
  61           -44.732841      -0.417156     113.336639
  62           -44.781826      -0.476829     113.341675
  63           -44.819515      -0.546843     113.346085
  64           -44.842415      -0.623038     113.348991
  65           -44.849998      -0.700000     113.349998
  66           -44.842415      -0.776962     113.348991
  67           -44.819515      -0.853157     113.346085
  68           -44.781826      -0.923171     113.341675
  69           -44.732841      -0.982844     113.336639
  70           -44.673168      -1.031829     113.331589
  71           -44.603157      -1.069518     113.327156
  72           -44.526962      -1.092416     113.324234
  73           -44.450001      -1.100000     113.323212
  74           -44.373039      -1.092416     113.324234
  75           -44.296844      -1.069518     113.327156
  76           -44.226833      -1.031829     113.331589
  77           -44.167160      -0.982844     113.336639
  78           -44.118172      -0.923171     113.341675
  79           -44.080482      -0.853157     113.346085
  80           -44.057583      -0.776962     113.348991
  81           -44.049999      -0.700000     113.349998
  82           -44.057583      -0.623038     113.348991
  83           -44.080482      -0.546843     113.346085
  84           -44.118172      -0.476829     113.341675
  85           -44.167160      -0.417156     113.336639
  86           -44.226833      -0.368172     113.331589
  87           -44.296844      -0.330482     113.327156
  88           -44.373039      -0.307584     124.824234
  89           -44.450001      -0.300000     124.823212
  90           -44.450001      -0.300000     126.349998
  91           -44.526962      -0.307584     124.824234
  92           -44.553528      -0.313630     126.349998
  93           -44.603157      -0.330482     124.827156
  94           -44.650002      -0.353590     126.349998
  95           -44.673168      -0.368172     124.831589
  96           -44.732841      -0.417156     126.349998
  97           -44.732841      -0.417156     124.836639
  98           -44.781826      -0.476829     124.841675
  99           -44.796410      -0.500000     126.349998
  100          -44.819515      -0.546843     124.846085
  101          -44.836369      -0.596472     126.349998
  102          -44.842415      -0.623038     124.848991
  103          -44.849998      -0.700000     126.349998
  104          -44.849998      -0.700000     124.849998
  105          -44.842415      -0.776962     124.848991
  106          -44.836369      -0.803528     126.349998
  107          -44.819515      -0.853157     124.846085
  108          -44.796410      -0.900000     126.349998
  109          -44.781826      -0.923171     124.841675
  110          -44.732841      -0.982844     126.349998
  111          -44.732841      -0.982844     124.836639
  112          -44.673168      -1.031829     124.831589
  113          -44.650002      -1.046410     126.349998
  114          -44.603157      -1.069518     124.827156
  115          -44.553528      -1.086370     126.349998
  116          -44.526962      -1.092416     124.824234
  117          -44.450001      -1.100000     126.349998
  118          -44.450001      -1.100000     124.823212
  119          -44.373039      -1.092416     124.824234
  120          -44.346474      -1.086370     126.349998
  121          -44.296844      -1.069518     124.827156
  122          -44.250000      -1.046410     126.349998
  123          -44.226833      -1.031829     124.831589
  124          -44.167160      -0.982844     126.349998
  125          -44.167160      -0.982844     124.836639
  126          -44.118172      -0.923171     124.841675
  127          -44.103588      -0.900000     126.349998
  128          -44.080482      -0.853157     124.846085
  129          -44.063629      -0.803528     126.349998
  130          -44.057583      -0.776962     124.848991
  131          -44.049999      -0.700000     126.349998
  132          -44.049999      -0.700000     124.849998
  133          -44.057583      -0.623038     124.848991
  134          -44.063629      -0.596472     126.349998
  135          -44.080482      -0.546843     124.846085
  136          -44.103588      -0.500000     126.349998
  137          -44.118172      -0.476829     124.841675
  138          -44.167160      -0.417156     126.349998
  139          -44.167160      -0.417156     124.836639
  140          -44.226833      -0.368172     124.831589
  141          -44.250000      -0.353590     126.349998
  142          -44.296844      -0.330482     124.827156
  143          -44.346474      -0.313630     126.349998
  144          -44.526962      -0.307584     127.875763
  145          -44.450001      -0.300000     127.876785
  146          -44.373039      -0.307584     127.875763
  147          -44.296844      -0.330482     127.872841
  148          -44.226833      -0.368172     127.868416
  149          -44.167160      -0.417156     127.863365
  150          -44.118172      -0.476829     127.858322
  151          -44.080482      -0.546843     127.853912
  152          -44.057583      -0.623038     127.851013
  153          -44.049999      -0.700000     127.849998
  154          -44.057583      -0.776962     127.851013
  155          -44.080482      -0.853157     127.853912
  156          -44.118172      -0.923171     127.858322
  157          -44.167160      -0.982844     127.863365
  158          -44.226833      -1.031829     127.868416
  159          -44.296844      -1.069518     127.872841
  160          -44.373039      -1.092416     127.875763
  161          -44.450001      -1.100000     127.876785
  162          -44.526962      -1.092416     127.875763
  163          -44.603157      -1.069518     127.872841
  164          -44.673168      -1.031829     127.868416
  165          -44.732841      -0.982844     127.863365
  166          -44.781826      -0.923171     127.858322
  167          -44.819515      -0.853157     127.853912
  168          -44.842415      -0.776962     127.851013
  169          -44.849998      -0.700000     127.849998
  170          -44.842415      -0.623038     127.851013
  171          -44.819515      -0.546843     127.853912
  172          -44.781826      -0.476829     127.858322
  173          -44.732841      -0.417156     127.863365
  174          -44.673168      -0.368172     127.868416
  175          -44.603157      -0.330482     127.872841
  176          -44.526962       5.907584     124.824234
